energy,stress,motivation,hour_of_day,persona,focus_readiness
7,4,8,20,Early Bird,56.29753987582999
8,5,4,7,Early Bird,90.29758912915246
8,3,6,20,Early Bird,56.25736559792946
5,1,10,21,Early Bird,53.42449057846556
9,1,10,15,Early Bird,23.74686809574267
3,7,4,2,Early Bird,52.50839865051569
5,3,7,20,Early Bird,54.119802560924015
9,2,10,8,Early Bird,92.91048429192075
10,5,2,19,Early Bird,62.33757790354501
8,3,1,3,Early Bird,54.6967067309505
2,8,4,1,Early Bird,47.866182088532554
4,6,2,11,Early Bird,81.94065004397879
2,10,4,13,Early Bird,49.27844025955782
7,9,8,20,Early Bird,60.56587717929183
2,5,8,12,Early Bird,52.97225190818438
1,9,7,8,Early Bird,75.84475315875105
8,1,8,23,Early Bird,60.7917532023133
5,10,7,8,Early Bird,87.03330222902002
7,9,8,11,Early Bird,87.56247728646413
7,8,5,2,Early Bird,56.44302307000855
8,6,3,0,Early Bird,58.98053567191004
3,1,5,22,Early Bird,52.75664313752394
7,9,10,9,Early Bird,84.85784892718324
7,1,4,3,Early Bird,56.15758112541974
5,7,7,12,Early Bird,50.744210610953324
7,3,6,1,Early Bird,57.5710109548955
10,9,5,5,Early Bird,55.552727259423264
4,10,7,6,Early Bird,53.31345745128295
1,1,9,19,Early Bird,46.95183008030097
6,8,9,4,Early Bird,52.94278164389579
1,3,10,11,Early Bird,75.00181813930871
8,9,4,16,Early Bird,22.45863752547526
1,10,4,11,Early Bird,76.94434758646508
1,5,1,23,Early Bird,45.97948613402933
1,1,2,1,Early Bird,49.67470193032196
1,1,3,1,Early Bird,50.74750474445647
5,10,6,22,Early Bird,58.428468443545064
1,6,8,4,Early Bird,53.25579909806032
4,2,6,21,Early Bird,51.35807754441069
1,9,6,15,Early Bird,20.730684845753714
3,4,4,18,Early Bird,55.66253484324881
4,7,4,8,Early Bird,84.81644939254302
1,8,7,17,Early Bird,21.945937417008683
9,9,2,22,Early Bird,61.77936907586097
10,3,7,15,Early Bird,25.68237980381239
1,2,1,15,Early Bird,24.421428262847286
5,5,7,8,Early Bird,87.8944317469853
3,4,8,21,Early Bird,49.805506541410985
8,1,8,19,Early Bird,58.67886480849663
3,9,3,17,Early Bird,24.042204297729917
2,2,6,2,Early Bird,48.42608950839205
1,4,1,13,Early Bird,52.96966082590149
5,4,8,7,Early Bird,86.27345873216935
1,3,6,22,Early Bird,53.82160675488603
6,6,6,12,Early Bird,58.73153665548401
2,5,1,14,Early Bird,20.91082392693783
1,5,3,3,Early Bird,51.12594019341007
1,5,6,2,Early Bird,50.58818454870655
9,5,8,16,Early Bird,30.856658636689975
1,4,5,22,Early Bird,55.63961026641453
1,3,2,9,Early Bird,77.51954277755354
8,8,2,14,Early Bird,25.15595213918651
6,7,2,9,Early Bird,88.07336208104485
1,9,6,15,Early Bird,22.182353579104703
7,10,7,2,Early Bird,58.97039199349194
10,7,9,3,Early Bird,55.692297541877906
4,1,8,13,Early Bird,54.69688847452922
7,2,2,22,Early Bird,57.52854276615697
6,3,9,21,Early Bird,54.756404583830324
4,10,6,14,Early Bird,22.240596137622443
6,5,1,7,Early Bird,84.85408887222009
5,7,4,5,Early Bird,57.038793246804026
4,3,7,7,Early Bird,76.92457224002717
1,8,3,22,Early Bird,51.55936294430828
10,5,10,20,Early Bird,59.592847853045306
5,1,10,0,Early Bird,52.61948494698217
2,6,9,7,Early Bird,79.55156654322867
7,5,6,22,Early Bird,58.733691405296504
3,10,3,4,Early Bird,51.98184112046541
5,1,4,4,Early Bird,52.55418719043423
10,10,5,6,Early Bird,58.55625559852948
5,7,10,9,Early Bird,78.71861798789482
6,5,4,1,Early Bird,56.00544083358403
8,5,4,15,Early Bird,26.26780584537496
8,7,2,16,Early Bird,25.03220439420607
4,8,2,2,Early Bird,56.7786976286551
1,1,3,10,Early Bird,76.54464471489325
1,8,10,10,Early Bird,78.76495161945373
2,3,2,2,Early Bird,55.690634060933135
10,10,10,1,Early Bird,56.12632691340759
3,9,7,3,Early Bird,49.871115819191445
8,4,9,20,Early Bird,61.97941500495715
9,4,10,4,Early Bird,61.24188081536978
1,3,4,17,Early Bird,22.331110796300393
1,7,8,22,Early Bird,55.65857932751798
9,3,9,16,Early Bird,23.181446373577167
1,4,9,21,Early Bird,49.2310414299385
4,9,3,11,Early Bird,82.10509633050887
9,7,4,18,Early Bird,56.44022017388607
